Ho,EP,EN,Year,Type,IT,,,,
54,14,-14,1997.22,Z,Myers,,,,
53,5,-5,1997.5,B,Theureau,,,,
57,5,-5,1997.5,B,Theureau,,,,
50,20,-20,1997.625,C,Hancock \etal Astroph9708254,,,,
89,10,-10,1997.659,F,Lauer \etal 1998,,,,
82,8,-8,1997.661,F,Lauer \etal 1998,,,,
53,3,-3,1997.667,O,Sciama 1997,,,,
66,12,-12,1997.7,S,Iwamoto,,,,
61,9,-9,1997.689,L,Williams & Schechter Astroph9709059 Lensing,,,,
56,7,-7,1997.75,SS,Sandage & Tammann,,,,
57,5,-5,1997.8,B,Theureau,,,,
50,3,-3,1997.944,S,Lanoix,,,,
65,10,-10,1997.958,S,Hendry,,,,
60,10,-10,1998.021,S,Branch 1998,,,,
47,23,-15,1998.051,Z,Hughes & Birkinshaw 1998,,,,
65,20,-14,1998.074,B,Watanabe,,,,
66,15,-14,1998.081,L,Goicoechea,,,,
82,16,-16,1998.092,R,Tully,,,,
30,18,-7,1998.1,CM,Lineweaver,,,,
47,6,-6,1998.113,CM,Webster,,,,
42,12,-9,1998.14,Z,Grainge,,,,
62,7,-7,1998.16,L,Wambsganss,,,,
72,12,-12,1998.2,TK,Madore \etal 1998,,,,
58,11,-11,1998.158,CM,Lineweaver,,,,
57,7,-7,1998.169,BS,Federspiel,,,,
60,11,-11,1998.194,O,Salaris \& Cassisi MNRAS 298,,,,
56,3,-3,1998.2,B,Theureau,,,,
51,4,-4,1998.2,B,Theureau,,,,
57,8,-8,1998.212,O,Narasimha & Mazumdar Astroph9803195 Ceph to M100 + Virgo z,,,,
58,19,-18,1998.214,L,Impey \etal Astroph9803207  Lens PG1115+080,,,,
70,10,-10,1998.22,Z,Cen,,,,
57,7,-7,1998.223,AS,Tammann,,,,
74,8,-7,1998.231,L,Chartas \etal Astroph9803285  0957 x-ray mass  q=0 assumed,,,,
60,6,-6,1998.25,S,Tripp R. 1998,,,,
57,7,-7,1998.344,AS,Tammann,,,,
62,6,-6,1998.345,G,Della Valle,,,,
61,13,-15,1998.9,L,Romanowsky \& Kochanek 1998,,,,
68,5,-5,1998.37,A,Nevalainen & Roos,,,,
79,7,-7,1998.382,A,Luri,,,,
61,5,-5,1998.406,O,Baum,,,,
77,8,-8,1998.444,O,Harris,,,,
55,10,-10,1998.5,L,Fassnacht,,,,
65,3,-3,1998.55,S,Suntzeff,,,,
87,11,-11,1998.6,F,Jensen,,,,
55,8,-8,1998.621,S,Schaefer,,,,
49,29,-29,1998.632,Z,Cooray,,,,
79,12,-12,1998.667,D,Pierce,,,,
47,14,-14,1998.67,Z,Furuzawa,,,,
70,18,-18,1998.678,T,Madore,,,,
71,13,-13,1998.681,L,Tonry,,,,
82,8,-8,1998.714,G,Grillmair,,,,
77,4,-4,1998.756,R,Tully R. 1998,,,,
60,10,-10,1998.775,O,Paturel,,,,
53,38,-28,1998.85,Z,Andreani \etal 1999,,,,
64,4,-4,1998.869,S,Suntzeff,,,,
42,9,-9,1998.883,O,Collier,,,,
69,8,-8,1999.07,R,Shanks,,,,
64,4,-4,1999,S,Jha,,,,
73,8,-8,1999.02,AK,Freedman,,,,
58,11,-11,1999.04,OC,Lineweaver,,,,
61,6,-6,1999.095,S,Meikle \& Hernandez,,,,
44,7,-7,1999.155,Z,Komatsu,,,,
59,5,-5,1999.21,S,Tammann,,,,
77,29,-24,1999.218,L,Bernstein,,,,
69,13,-19,1999.253,L,Biggs,,,,
65,5,-5,1999.258,A,Turner,,,,
57,23,-16,1999.288,ZC,Grainge,,,,
46,14,-11,1999.29,Z,Saunders,,,,
63,7,-7,1999.3,L,Myers,,,,
62,5,-5,1999.317,S,Tripp,,,,
56,6,-6,1999.322,OS,Tammann,,,,
52,5,-4,1999.325,B,Ekholm,,,,
60,2,-2,1999.328,SS,Saha,,,,
65,2,-2,1999.35,S,Filippenko,,,,
72,6,-6,1999.352,O,Richtler,,,,
70,5,-6,1999.382,AK,Freedman,,,,
79,7,-7,1999.403,S,Jensen \etal   SBF Far field e-mail,,,,
68,10,-10,1999.409,A,Lineweaver,,,,
73,11,-13,1999.41,Z,Mason and Myers,,,,
78,11,-11,1999.419,DK,Kelson,,,,
71,8,-8,1999.42,BK,Sakaim S. \etal KP AAS   TF,,,,
69,7,-7,1999.43,OK,Ferrarese,,,,
68,5,-5,1999.44,SK,Gibson,,,,
68,6,-6,1999.445,AK,Mould \etal KP AAS Combination + Fe corr,,,,
71,6,-6,1999.445,AK,Mould \etal KP AAS Comb no Fe corr,,,,
79,7,-7,1999.446,S,Tonry \etal AAS,,,,
60,12,-12,1999.447,Z,Reese \etal 46.03 AAS Meeting  SCDM,,,,
63,12,-12,1999.447,Z,Reese \etal 46.03              Open U,,,,
67,12,-12,1999.447,Z,Reese \etal 46.03              Lambda U,,,,
69,18,-12,1999.448,L,Chae,,,,
64,8,-6,1999.458,S,Jha,,,,
65,8,-8,1999.464,A,Rowan-Robinson,,,,
63,4,-4,1999.516,S,Phillips,,,,
77,7,-7,1999.52,F,Tonry,,,,
74,7,-7,1999.538,F,Blakeslee,,,,
59,8,-7,1999.556,LC,Fassnacht \etal,,,,
68,13,-13,1999.557,LC,Koopmans,,,,
74,18,-17,1999.56,L,Chae at Gravitational lensing conf. 0957,,,,
55,15,-14,1999.56,L,Chae at Gravitational lensing conf. 0957,,,,
71,7,-5,1999.561,L,Lovell,,,,
69,13,-10,1999.562,L,Wilkott,,,,
65,1,-1,1999.575,S,Wang,,,,
68,5,-5,1999.618,SK,Gibson,,,,
66,6,-6,1999.669,O,Hendry,,,,
69,6,-6,1999.672,FK,Ferrarese,,,,
71,7,-7,1999.675,AK,Freedman,,,,
72,4,-4,1999.689,S,Richtler,,,,
71,6,-6,1999.692,AK,Ferrarese,,,,
78,10,-10,1999.706,DK,Kelson,,,,
60,20,-15,1999.708,L,Williams,,,,
71,8,-8,1999.711,TK,Sakai,,,,
71,6,-6,1999.715,AK,Mould,,,,
68,6,-6,1999.717,AK,Mould,,,,
69,13,-19,1999.733,L,Biggs,,,,
74,4,-4,1999.803,S,Blakeslee,,,,
57,3,-3,1999.808,O,Ekholm,,,,
77,8,-8,1999.846,R,Tully,,,,
81,10,-10,1999.847,H,Rothberg,,,,
69,9,-9,1999.866,G,Kavelaars,,,,
61,11,-11,1999.87,L,Williams,,,,
58,5,-5,1999.88,SS,Tammann,,,,
63,21,-21,1999.92,Z,Reese,,,,
55,3,-3,1999.97,O,Sandage,,,,
70,12,-12,1999.98,O,Novosyadlyj,,,,
50,22,-17,2000.01,Z,Patel,,,,
70,15,-32,2000.167,O,Novosyadlyj,,,,
59,6,-6,2000.267,SS,B. R. Parodi,,,,
71,7,-7,2000.286,A,Fukugita,,,,
85,5,-5,2000.35,O,Willick,,,,
92,5,-5,2000.354,O,Willick,,,,
40,13,-13,2000.4,O,Qin,,,,
67,2,-2,2000.436,A,Gott,,,,
70,4,-4,2000.508,S,Hernandez,,,,
71,7,-7,2000.524,AK,Freedman,,,,
52,14,-8,2000.53,L,Burud,,,,
65,8,-8,2000.535,A,Primack,,,,
59,38,-28,2000.586,ZC,Mauskopf,,,,
65,2,-2,2000.591,S,Filippenko,,,,
68,10,-10,2000.63,O,Tegmark,,,,
62,18,-18,2000.678,LC,Schechter,,,,
71,22,-19,2000.681,OC,Durrer,,,,
62,8,-2,2000.794,CC,Padmanabhan,,,,
58,6,-6,2000.814,SS,Tammann,,,,
71,6,-6,2000.852,LC,Giovi,,,,
64,4,-4,2000.853,LC,Giovi,,,,
69,13,-19,2000.87,L,Biggs,,,,
76,1,-1,2000.88,F,Jensen,,,,
73,2,-2,2000.89,F,Jensen,,,,
70,9,-9,2000.892,AC,Bond,,,,
73,7,-7,2000.906,SK,Gibson,,,,
73,7,-7,2000.91,SK,Gibson,,,,
63,6,-6,2000.926,A,Rowan Robinson,,,,
70,5,-5,2000.928,A,Sharpe,,,,
72,8,-8,2000.95,AK,Freedman,G.,Macri,L. \& Stetson,P. ApJ in press. ast0012376
71,12,-9,2000.968,A,Fukugita,,,,
79,4,-4,2000.984,C,Lahav,,,,
66,14,-11,2001.029,ZC,Mason,,,,
64,14,-11,2001.029,ZC,Mason,,,,
66,14,-11,2001.03,ZC,Mason,,,,
64,14,-11,2001.03,ZC,Mason,,,,
70,7,-7,2001.098,A,Turner,,,,
73,4,-4,2001.128,H,Watanabe,,,,
68,6,-6,2001.143,A,Krauss,,,,
63,7,-7,2001.164,TI,Allen,,,,
59,8,-7,2001.179,ZC,Jones,,,,
65,8,-7,2001.181,ZC,Jones,,,,
61,15,-15,2001.379,CC,Netterfield,,,,
69,4,-4,2001.42,F,Tonry,,,,
69,6,-5,2001.447,L,Patnaik,,,,
65,6,-6,2002.5,T,Hendry,,,,
65,6,-6,2001.532,O,Hendry,,,,
59,6,-6,2001.551,SS,Saha,,,,
71,8,-8,2001.6,F,Liu,,,,
60,10,-10,2001.64,H,Tutui,,,,
67,8,-8,2001.796,A,Feast,,,,
48,4,-4,2001.847,LC,Gil-Merino,,,,
62,4,-4,2001.847,LC,Gil-Merino,,,,
73,11,-11,2001.858,F,Blakeslee,,,,
58,17,-15,2001.925,LC,Cardone,,,,
73,11,-11,2001.922,A,Blakeslee,,,,
65,8,-8,2001.943,LC,Burud,,,,
77,4,-4,2001.954,LC,Wucknitz,,,,
72,8,-8,2001.964,A,Lineweaver,,,,
57,2,-2,2001.98,AS,Tammann,,,,
55,12,-12,2002.046,2,Hamuy,,,,
72,7,-7,2002.08,AK,Freedman,,,,
91,-10,10,2002.086,T,Russell,,,,
44,9,-9,2002.089,LC,Winn,,,,
72,-2,6,2002.143,A,Erdogdu,,,,
48,7,-4,2002.259,L,Kochanek,,,,
71,6,-6,2002.261,L,Kochanek,,,,
62,7,-7,2002.263,L,Kochanek,,,,
71,8,-8,2002.355,L,Hjorth,,,,
72,4,-13,2002.366,A,Plionis,,,,
73,8,-8,2002.389,LC,Kochanek,,,,
51,5,-5,2002.391,LC,Kochanek,,,,
60,13,-18,2002.395,ZC,Reese,,,,
78,7,-7,2002.453,P,Ciardullo,,,,
56,6,-4,2002.597,LC,Courbin,,,,
57,2,-2,2002.594,SS,Tammann,,,,
63,17,-17,2002.645,LC,Fassnacht,,,,
51,9,-9,2002.663,LC,Burud,,,,
66,6,-6,2002.655,O,Terry,,,,
59,12,-7,2002.918,LC,Treu,,,,
71,6,-6,2002.949,F,Mei,,,,
72,15,-13,2002.973,CC,Slosar,,,,
81,10,-10,2003.04,2,Hamuy,,,,
67,4,-4,2003.055,S,Hoeflich,,,,
71,4,-3,2003.122,OC,Spergel,,,,
70,3,-3,2003.155,OC,Contaldi,,,,
56,4,-4,2003.177,O,Alves,,,,
57,2,-2,2003.215,AS,Tammann,,,,
70,10,-10,2003.218,S,Perlmutter,,,,
77,20,-20,2003.239,Z,Battistelli,,,,
66,5,-5,2003.25,A,Melchiorri,,,,
72,8,-8,2003.3,AK,Freedman,,,,
57,15,-15,2003.376,2,Leonard,,,,
59,11,-11,2003.376,2,Leonard,,,,
77,19,-15,2003.39,ZC,Saunders et al 2003,,,,
85,20,-17,2003.39,ZC,Saunders et al 2003,,,,
48,3,-3,2003.422,LC,Kochanek,,,,
71,3,-3,2003.422,LC,Kochanek,,,,
61,18,-18,2003.431,ZC,Reese,,,,
75,7,-6,2003.45,LC,Koopmans,,,,
72,7,-7,2003.648,AK,Freedman,,,,
58,4,-3,2003.728,ZC,Sereno,,,,
72,8,-8,2003.74,S,Filippenko,,,,
70,4,-3,2003.825,CC,Tegmark,,,,
68,2,-2,2003.9,OC,Allen,,,,
78,6,-6,2003.94,LC,Wucknitz,,,,
71,3,-3,2004.04,S,Altavilla,,,,
31,19,-17,2004.109,ZC,Grego,,,,
73,9,-5,2004.141,CC,Rebolo,,,,
69,8,-8,2004.15,CK,Sakai,,,,
70,5,-5,2004.347,LC,York,,,,
57,15,-14,2004.35,OC,Odman,,,,
69,8,-8,2004.387,ZC,Schmidt,,,,
67,5,-5,2004.409,ZC,Fosalba,,,,
75,8,-8,2004.42,LC,Koopmans,,,,
73,3,-3,2004.5,OC,Lahav,,,,
56,23,-23,2004.518,LC,Tortora,,,,
49,6,-11,2004.52,LC,Tortora,,,,
72,7,-7,2004.55,AK,Freedman,,,,
67,15,-6,2004.584,ZC,Udomprasert,,,,
78,6,-6,2004.68,LC,Schechter,,,,
64,9,-7,2004.7,LC,Jakobsson,,,,
70,7,-7,2004.91,CC,Chu,,,,
76,6,-6,2004.92,LC,Brynjolfsson,,,,
73,5,-5,2005.58,S,Riess,,,,
74,2,-2,2005.6,OC,Sanchez,,,,
60,7,-7,2005.9,A,Paturel,,,,
77,10,-8,2005.95,ZC,Bonamente,,,,
63,5,-5,2005.97,SS,Tammann,,,,
73,3,-3,2006.218,CC,Spergel,,,,
72,6,-6,2006.2,SC,Wang,,,,
62,5,-5,2006.228,SS,Sandage,,,,
74,5,-5,2006.25,S,Ngeow,,,,
71,2,-2,2006.267,OC,Huetsi,,,,
70,2,-2,2006.39,SC,Carneiro,,,,
74,4,-4,2006.45,SC,Peirani,,,,
72,6,-6,2006.5,S,Wang,,,,
76,10,-8,2006.6,Z,Bonamente,,,,
56,-7,9,2006.664,TS,Sandage,,,,
68,8,-8,2006.739,LC,Oguri,,,,
74,6,-6,2006.75,T,Masters,,,,
63,5,-5,2006.8,FS,Dunn,,,,
77,5,-5,2006.853,P,Feldmeier,,,,
74,4,-4,2006.917,ZC,Cunha,,,,
74,6,-6,2006.93,AK,Macri,,,,
49,6,-11,2007.13,LC,Tortora,,,,
52,4,-3,2007.72,LC,Vuissoz,,,,
76,8,-8,2007.364,A,van Leeuwen,,,,
73,8,-8,2007.591,S,Wang,,,,
71,4,-4,2007.708,OC,Lima,,,,
77,7,-7,2007.903,O,An,,,,
61,9,-8,2007.949,T,Sandage,,,,
70,1,-1,2008.175,CC,Hinshaw,,,,
71,1,-2,2008.177,CC,Komatsu,,,,
52,4,-4,2008.833,2,Jones,,,,
62,8,-4,2009.18,LC,Paraficz,,,,
74,4,-4,2009.45,S,Riess,,,,
64,5,-5,2009.355,S,Zhang,,,,
76,25,-24,2009.36,2,Jones,,,,
72,1,-1,2009.551,OM,Dinculescu,,,,
63,2,-2,2010.277,AS,Sandage,,,,
73,4,-4,2010.281,AK,Freedman,,,,
62,6,-4,2010.689,LC,Courbin,,,,
